Bezirk,Einwohner,appts,appts_relative
Mitte,397279,1987.0,0.005001522859250048
Friedrichshain-Kreuzberg,293625,1799.0,0.006126862494678587
Pankow,423407,363.0,0.0008573311258434556
Charlottenburg-Wilmersdorf,341428,2144.0,0.00627950841758731
Spandau,255516,681.0,0.002665195134551261
Steglitz-Zehlendorf,310515,1678.0,0.005403925736276831
Tempelhof-Schöneberg,355068,2833.0,0.007978753365552513
Neukölln,330284,2456.0,0.007436024754453743
Treptow-Köpenick,291402,1165.0,0.003997913535253705
Marzahn-Hellersdorf,289512,1426.0,0.00492552985713891
Lichtenberg,310088,1953.0,0.00629821212043033
Reinickendorf,268261,866.0,0.0032281994028203875
